Tên coc,Toa do X,Toa do Y
1,1176582.65,607759.59,
2,1176563.48,607770.66,
3,1176553.54,607770.77,
4,1176544.3,607771.98,
5,1176530.83,607771.95,
6,1176528.75,607773,
7,1176518.69,607774.52,
8,1176491.96,607776.82,
9,1176474.37,607774.22,
10,1176468.02,607775.16,
11,1176457.44,607777.92,
12,1176450.86,607778.1,
13,1176445.5,607778.15,
14,1176432.66,607778.33,
15,1176432.43,607775.66,
16,1176430.72,607757.05,
17,1176426.33,607756.98,
18,1176422.24,607756.3,
19,1176418.61,607753.56,
20,1176417.02,607749.64,
21,1176419.07,607745.05,
22,1176419.37,607739.75,
23,1176419.49,607736.15,
24,1176401.97,607737.48,
25,1176398.08,607711.35,
26,1176393.52,607679.84,
27,1176392.89,607676.6,
28,1176386.39,607677.85,
29,1176379,607679.3,
30,1176375.89,607679.97,
31,1176357.41,607683.12,
32,1176355.79,607683.6,
33,1176355.67,607682.97,
34,1176341.85,607685.15,
35,1176336.7,607685.29,
36,1176328.88,607685.49,
37,1176319.03,607686.9,
38,1176308.97,607687.13,
39,1176303.59,607687.04,
40,1176301.6,607687,
41,1176298.31,607686.94,
42,1176290.81,607686.8,
43,1176288.62,607688.17,
44,1176288.04,607706.74,
45,1176278.35,607708.78,
46,1176267.32,607710.28,
47,1176240.37,607713.96,
48,1176246.74,607742.38,
49,1176256.15,607784.4,
50,1176248.19,607784.79,
51,1176244.3,607785.02,
52,1176239.89,607785.01,
53,1176236.43,607785.63,
54,1176221.46,607787.01,
55,1176217.54,607787.01,
56,1176209.06,607786.76,
57,1176196.38,607787.1,
58,1176170.36,607788.48,
59,1176160.61,607788.68,
60,1176150.04,607789.47,
61,1176148.58,607789.67,
62,1176164.37,607838.09,
63,1176178.7,607882.9,
64,1176031.56,607914.77,
65,1176005.67,607920.37,
66,1176000.03,607921.6,
67,1175981.63,607925.58,
68,1175946.47,607933.19,
69,1175944.95,607933.52,
70,1175928.92,607859.49,
71,1175673.48,607921.65,
72,1175662.9,607924.7,
73,1175662.24,607925.56,
74,1175645.49,607929.75,
75,1175622.3,607935.74,
76,1175609.17,607938.82,
77,1175596.3,607940.95,
78,1175585.93,607911.84,
79,1175574.41,607879.74,
80,1175566.23,607850.12,
81,1175559.72,607826.64,
82,1175553.02,607807.82,
83,1175550.85,607800.57,
84,1175545.64,607791.19,
85,1175541.1,607766.97,
86,1175481.42,607780.35,
87,1175479.71,607780.22,
88,1175468.87,607783.23,
89,1175454,607786.16,
90,1175451.44,607786.66,
91,1175447.4,607787.32,
92,1175447.31,607787.53,
93,1175442.47,607788.58,
94,1175438.81,607789.36,
